KPI_NAME,VALUE,UNIT,PROJECT,REPORT_DATE
Contract Value,240100.82,ZAR,Liberty Towers Fibre Relocation,2026-01-21
Total Costs,89033.86,ZAR,Liberty Towers Fibre Relocation,2026-01-21
Remaining Budget,151066.96,ZAR,Liberty Towers Fibre Relocation,2026-01-21
Budget Used,37.1,%,Liberty Towers Fibre Relocation,2026-01-21
Profit Margin,62.9,%,Liberty Towers Fibre Relocation,2026-01-21
