CATEGORY,AMOUNT,PERCENTAGE,PROJECT
Labour,30179.28,33.9,Liberty Towers Fibre Relocation
Material,29897.91,33.6,Liberty Towers Fibre Relocation
Vehicle,4939.49,5.5,Liberty Towers Fibre Relocation
Overhead,24017.18,27.0,Liberty Towers Fibre Relocation
